Domain,Type,Name,Address,Target,Port,String
,A,events.africahackon.com,104.21.53.140,,,
,A,events.africahackon.com,172.67.213.104,,,
,AAAA,events.africahackon.com,2606:4700:3033::ac43:d568,,,
,AAAA,events.africahackon.com,2606:4700:3035::6815:358c,,,
,A,ftp.africahackon.com,104.21.53.140,,,
,A,ftp.africahackon.com,172.67.213.104,,,
,AAAA,ftp.africahackon.com,2606:4700:3033::ac43:d568,,,
,AAAA,ftp.africahackon.com,2606:4700:3035::6815:358c,,,
,A,labs.africahackon.com,168.231.80.190,,,
,AAAA,labs.africahackon.com,64:ff9b::a8e7:50be,,,
,A,mail.africahackon.com,104.21.53.140,,,
,A,mail.africahackon.com,172.67.213.104,,,
,AAAA,mail.africahackon.com,2606:4700:3033::ac43:d568,,,
,AAAA,mail.africahackon.com,2606:4700:3035::6815:358c,,,
,A,members.africahackon.com,104.21.53.140,,,
,A,members.africahackon.com,172.67.213.104,,,
,AAAA,members.africahackon.com,2606:4700:3035::6815:358c,,,
,AAAA,members.africahackon.com,2606:4700:3033::ac43:d568,,,
,A,new.africahackon.com,172.67.213.104,,,
,A,new.africahackon.com,104.21.53.140,,,
,AAAA,new.africahackon.com,2606:4700:3033::ac43:d568,,,
,AAAA,new.africahackon.com,2606:4700:3035::6815:358c,,,
,A,webmail.africahackon.com,172.67.213.104,,,
,A,webmail.africahackon.com,104.21.53.140,,,
,AAAA,webmail.africahackon.com,2606:4700:3033::ac43:d568,,,
,AAAA,webmail.africahackon.com,2606:4700:3035::6815:358c,,,
,A,www.africahackon.com,172.67.213.104,,,
,A,www.africahackon.com,104.21.53.140,,,
,AAAA,www.africahackon.com,2606:4700:3035::6815:358c,,,
,AAAA,www.africahackon.com,2606:4700:3033::ac43:d568,,,
